월소득,초기자금,가족수,주용도,연료선호,운전경력,거주지역,추천차종
437,628,6,출퇴근,상관없음,1년미만,도심,아반떼_가솔린
697,1535,4,업무,전기,3년이상,도심,G80_전기
340,2484,5,업무,하이브리드,3년이상,지방,K8_하이브리드
603,2338,5,레저,상관없음,1~3년,도심,팰리세이드_가솔린
339,3072,3,업무,하이브리드,1~3년,도심,쏘나타_하이브리드
714,1963,5,가족용,전기,1~3년,도심,G80_전기
688,2474,6,가족용,하이브리드,1~3년,지방,산타페_하이브리드
211,3950,6,출퇴근,하이브리드,1~3년,지방,K8_하이브리드
302,2661,5,가족용,가솔린,1년미만,도심,산타페_가솔린
592,3888,5,출퇴근,하이브리드,1~3년,도심,그랜저_하이브리드
608,4145,3,출퇴근,가솔린,3년이상,도심,G80_가솔린
752,3788,3,업무,가솔린,3년이상,도심,G80_가솔린
416,1588,2,업무,상관없음,1~3년,도심,코나_전기
453,1686,5,레저,상관없음,1~3년,지방,팰리세이드_가솔린
580,1467,4,업무,하이브리드,1년미만,도심,아반떼_하이브리드
335,1457,4,레저,가솔린,3년이상,지방,스포티지_가솔린
691,2385,6,가족용,디젤,3년이상,도심,스포티지_디젤
283,1038,3,레저,디젤,3년이상,지방,코나_가솔린
237,3979,4,가족용,하이브리드,1년미만,지방,산타페_하이브리드
789,2426,5,레저,가솔린,1년미만,도심,코나_가솔린
355,4894,2,가족용,상관없음,3년이상,지방,산타페_가솔린
700,1002,6,레저,하이브리드,1년미만,도심,산타페_하이브리드
794,901,4,업무,가솔린,1~3년,지방,쏘나타_가솔린
338,1179,6,가족용,전기,3년이상,도심,EV6_전기
704,4066,5,레저,하이브리드,3년이상,지방,팰리세이드_하이브리드
390,1354,4,출퇴근,가솔린,1~3년,지방,쏘나타_가솔린
313,948,3,출퇴근,상관없음,1~3년,도심,K5_가솔린
485,1957,6,레저,하이브리드,1~3년,도심,팰리세이드_하이브리드
240,2318,3,가족용,하이브리드,1년미만,지방,스포티지_하이브리드
304,1587,4,가족용,가솔린,1년미만,지방,스포티지_가솔린
455,5109,5,업무,전기,3년이상,도심,G80_전기
783,2390,6,레저,가솔린,1~3년,지방,팰리세이드_가솔린
265,2536,5,가족용,전기,1~3년,도심,EV6_전기
187,3178,5,출퇴근,전기,1~3년,도심,EV6_전기
244,3927,6,업무,하이브리드,3년이상,지방,K8_하이브리드
790,349,3,업무,하이브리드,1년미만,도심,아반떼_하이브리드
207,3850,6,업무,가솔린,3년이상,지방,K8_가솔린
155,2397,1,업무,가솔린,3년이상,도심,아반떼_가솔린
133,2565,3,레저,전기,1~3년,도심,셀토스_가솔린
618,3634,3,업무,가솔린,3년이상,지방,G80_가솔린
330,2026,4,출퇴근,하이브리드,1~3년,도심,K5_하이브리드
269,4918,3,업무,가솔린,1~3년,도심,쏘나타_가솔린
588,1869,6,레저,가솔린,1~3년,도심,팰리세이드_가솔린
